backend,profile,mean_ms,median_ms,p95_ms,p99_ms,max_ms
CPU,fgsm/eps0.005,9.614362852739346,10.614909499281566,10.800427000685886,11.66166442058966,21.38922999984061
CPU,fgsm/eps0.01,9.6325917031987,10.272572500014121,10.87782345018695,11.718129028449766,20.14747800058103
CPU,fgsm/eps0.03,9.623954930490092,9.6901034999064,10.884673950477008,11.79362332873097,22.227029003261123
CPU,fgsm/eps0.05,9.521648220406291,8.944664000182456,10.864540349939489,11.76348590895941,24.586485997133423
CPU,bim/eps0.03_default,56.2646682672558,54.63856700066572,64.36466815002859,70.8515598689746,104.06682900020314
CPU,pgd/eps0.005,54.88822856408686,53.9278114993067,62.555992799525484,64.10862299070683,73.79292599944165
CPU,pgd/eps0.01,55.20146290410283,54.84511799977554,62.56767980130462,64.37609806808265,82.72118500008219
CPU,pgd/eps0.03,55.194281255885855,55.143728000530245,62.563240949884865,63.54229252829099,80.38540500001545
CPU,mifgsm/eps0.03_default,55.86664841818742,55.47427500050617,63.357578750401444,65.20320446004573,88.26901300199097
CPU,difgsm/eps0.03_default,57.524856600456694,57.35325049909079,65.10972660016705,66.53477646013921,94.23925100009
CPU,vmifgsm/eps0.03_default,309.6195906182054,313.72809249955935,340.3126596999072,347.84553209963633,354.7154209991277
CPU,vnifgsm/eps0.03_default,311.9662539650357,315.2739480001401,345.6878216491532,348.98285194914934,361.62268399857567
CPU,rfgsm/eps0.03_default,55.94266746316993,57.094861500274874,62.775481749974915,63.45264023993421,73.16452699978981
CPU,tpgd/eps0.03_default,58.85140946954674,58.749881000949244,66.65032579940089,67.57354552996728,77.7469109998492
CPU,cw/c1_steps20_lr0.01,65.08044292820806,54.08451749997312,127.73897365023004,151.9733458714288,1106.8683370000372
CPU,deepfool/package_default,112.25391742683027,75.43759850034348,194.51137110104338,1781.214711910006,1916.2334959992224
CPU,fab/eps0.005,416.4822615618254,416.2868645000799,450.54101189962245,466.0035718898324,480.48937400017167
CPU,fab/eps0.01,418.1099161567988,418.68175949991837,452.4047833997428,466.65173236130613,472.5498580010026
CPU,fab/eps0.03,419.47136347317655,421.8742870002643,454.4196708009622,467.2296125298454,479.0871619989048
CPU,square/eps0.03_default,2029.010501264097,70.88867499987828,17813.579562149698,18042.812348779527,18711.484032000044
CPU,apgd/eps0.03_default,75.01059781317123,75.54640899979859,84.63715955012958,87.01089274996764,100.81788799993774
CPU,apgdt/eps0.03_default,151.12904700633513,86.65407649937151,753.7436560004605,793.1712101495577,843.2385939995584
CPU,autoattack/eps0.03_standard,1795.8911140063385,85.17854600086139,19989.188449500034,20215.56876198046,20386.71423100095
CPU,ead/package_default,1839.673521492741,1803.9369660004922,2389.17563904979,2692.1434471096636,9782.894462001424
NPU,fgsm/eps0.005,11.466037440008783,11.372870998457074,16.84979125113841,21.787673839428404,220.4762269999776
NPU,fgsm/eps0.01,11.052343908176411,11.416245499958677,12.507803599373801,20.055764830103698,29.241019001347013
NPU,fgsm/eps0.03,10.922813763627461,11.388049499146291,12.442468700282916,19.46273987090533,35.17583600114449
NPU,fgsm/eps0.05,10.766234601837953,11.36920449880563,12.169998449849102,17.415026727758157,32.883313000638736
NPU,bim/eps0.03_default,60.97916013545805,64.12859100055357,67.56515000251966,74.7414097001274,279.2624310000065
NPU,pgd/eps0.005,59.84267831087053,62.43874000028882,68.17067469996229,76.53235103216498,119.5977990000756
NPU,pgd/eps0.01,60.200172446331734,62.58409550059696,68.08706804986285,76.43930809013894,95.0267809998877
NPU,pgd/eps0.03,60.28135923314311,62.53913249997822,67.706497749657,76.44285898762939,91.75379499993142
NPU,mifgsm/eps0.03_default,61.13216319231648,63.38949600012711,69.80471940007646,80.07721882828261,93.75279799860436
NPU,difgsm/eps0.03_default,62.4844663472905,65.3059399992344,70.13633125006889,78.10542423033435,98.83604900096545
NPU,vmifgsm/eps0.03_default,333.82816240227174,333.0832585003236,360.8111606487,367.8287828086946,453.9828289998695
NPU,vnifgsm/eps0.03_default,336.4649903300099,336.14287799946396,361.59139489918743,368.7985375594689,399.5881499999996
NPU,rfgsm/eps0.03_default,61.24558089089552,63.99745649986244,67.77688959964506,79.10397542992996,88.44642899998689
NPU,tpgd/eps0.03_default,64.63647323861998,67.20971549930255,72.14003760072954,80.75583042020297,222.71266400002787
NPU,cw/c1_steps20_lr0.01,70.6480446849931,63.53571149998061,134.72121914937816,168.4098526303387,1464.3357419999743
NPU,deepfool/package_default,118.40328505408213,87.86970900007418,207.3032597504607,1771.7211819898669,1979.5718959976512
NPU,fab/eps0.005,437.0351829649925,437.6675145001627,468.35878964975564,475.5899250999209,490.4873729974497
NPU,fab/eps0.01,439.9700564845663,439.297193001039,468.8116204000949,479.4146822197217,517.9402289999189
NPU,fab/eps0.03,440.22950371182935,439.85223300001053,468.54016599882016,478.33940731830796,501.0189900003752
NPU,square/eps0.03_default,2167.6052075154776,81.46552450023137,19395.300466499793,19625.0682396897,19934.706729000027
NPU,apgd/eps0.03_default,81.98141124269637,85.28208850020746,90.42768204781167,97.1281444298438,113.46962599964172
NPU,apgdt/eps0.03_default,163.14897492679623,95.44311699988839,818.8820239010056,856.5423523708697,879.5011279999017
NPU,autoattack/eps0.03_standard,1910.060571195454,95.81519599976218,21608.94561199989,22090.221235130048,22217.21476499988
NPU,ead/package_default,1996.7013423950293,1956.5202255000713,2592.029659299803,2958.9028163095645,10690.707878999092
