backend,all_profiles,topk,n,n_clean_correct,n_attack_success,n_recovered,n_defended_correct,n_retained,n_retained_nodef,n_clean_topk_correct,n_clean_degraded,recovery_pct,recovery_ci95_lo_pct,recovery_ci95_hi_pct,defended_acc_pct,retention_pct,retention_nodef_pct,retention_gain_pp,clean_topk_acc_pct,clean_degradation_pct
CPU,ALL_24,10,52800,31152,20933,5641,13607,9627,10219,14256,19728,26.94788133569006,26.351089619002753,27.55313249633292,25.770833333333332,30.903312788906007,32.80367231638418,-1.900359527478173,27.0,63.32819722650231
CPU,ALL_24,20,52800,31152,20933,5521,18156,13524,10219,24048,10224,26.374623799742036,25.782034981425873,26.975882430529907,34.38636363636364,43.41294298921417,32.80367231638418,10.609270672829993,45.54545454545455,32.81972265023113
CPU,ALL_24,30,52800,31152,20933,5641,19085,14374,10219,26424,7368,26.94788133569006,26.351089619002753,27.55313249633292,36.145833333333336,46.14149974319466,32.80367231638418,13.337827426810478,50.04545454545455,23.651771956856702
CPU,ALL_24,40,52800,31152,20933,5695,19718,15179,10219,29064,3960,27.20584722686667,26.607205919242244,27.81285331261439,37.34469696969697,48.725603492552644,32.80367231638418,15.921931176168464,55.04545454545454,12.711864406779661
NPU,ALL_24,10,52800,28848,14900,3306,12495,9412,13948,12792,19032,22.18791946308725,21.527953106232655,22.862223450662583,23.664772727272727,32.62617859123683,48.34997226844149,-15.723793677204661,24.227272727272727,65.97337770382696
NPU,ALL_24,20,52800,28848,14900,2848,16755,13333,13948,22704,9624,19.114093959731544,18.490727480903153,19.753382681942377,31.732954545454543,46.21810870770937,48.34997226844149,-2.1318635607321212,43.0,33.36106489184692
NPU,ALL_24,30,52800,28848,14900,3018,17667,14321,13948,24696,7104,20.255033557046982,19.61740939727053,20.907991785200437,33.46022727272727,49.642956184137546,48.34997226844149,1.2929839156960554,46.77272727272727,24.625623960066555
NPU,ALL_24,40,52800,28848,14900,3141,18388,15341,13948,27288,3816,21.080536912751676,20.43310172417266,21.742880607792003,34.82575757575758,53.17872989462008,48.34997226844149,4.828757626178593,51.68181818181819,13.227953410981696
