backend,profile,attack,attack_profile,topk,n,n_clean_correct,n_attack_success,n_recovered,n_defended_correct,n_retained,n_retained_nodef,n_clean_topk_correct,n_clean_degraded,recovery_pct,recovery_ci95_lo_pct,recovery_ci95_hi_pct,defended_acc_pct,retention_pct,retention_nodef_pct,retention_gain_pp,clean_topk_acc_pct,clean_degradation_pct
CPU,fgsm/eps0.005,fgsm,eps0.005,10,2200,1298,219,69,597,464,1079,594,822,31.506849315068493,25.71797319223415,37.93333787356326,27.136363636363637,35.74730354391371,83.12788906009246,-47.38058551617875,27.0,63.32819722650231
CPU,fgsm/eps0.005,fgsm,eps0.005,20,2200,1298,219,77,961,825,1079,1002,426,35.15981735159817,29.141358159284554,41.68994084413312,43.68181818181818,63.559322033898304,83.12788906009246,-19.568567026194152,45.54545454545455,32.81972265023113
CPU,fgsm/eps0.005,fgsm,eps0.005,30,2200,1298,219,80,1068,937,1079,1101,307,36.5296803652968,30.43546327248604,43.088331207539234,48.54545454545455,72.1879815100154,83.12788906009246,-10.939907550077052,50.04545454545455,23.651771956856702
CPU,fgsm/eps0.005,fgsm,eps0.005,40,2200,1298,219,76,1155,1044,1079,1211,165,34.70319634703196,28.711215606029842,41.22258490518529,52.5,80.43143297380585,83.12788906009246,-2.6964560862866023,55.04545454545454,12.711864406779661
CPU,fgsm/eps0.01,fgsm,eps0.01,10,2200,1298,408,134,583,444,890,594,822,32.84313725490196,28.4645037559805,37.54184431570532,26.5,34.20647149460709,68.56702619414484,-34.36055469953776,27.0,63.32819722650231
CPU,fgsm/eps0.01,fgsm,eps0.01,20,2200,1298,408,135,915,760,890,1002,426,33.088235294117645,28.69882293734128,37.79314873332045,41.590909090909086,58.55161787365177,68.56702619414484,-10.015408320493073,45.54545454545455,32.81972265023113
CPU,fgsm/eps0.01,fgsm,eps0.01,30,2200,1298,408,133,1005,844,890,1101,307,32.59803921568628,28.230323037209438,37.29040143550046,45.68181818181819,65.0231124807396,68.56702619414484,-3.543913713405246,50.04545454545455,23.651771956856702
CPU,fgsm/eps0.01,fgsm,eps0.01,40,2200,1298,408,147,1103,951,890,1211,165,36.029411764705884,31.52118876855553,40.798266089817204,50.13636363636363,73.26656394453005,68.56702619414484,4.699537750385204,55.04545454545454,12.711864406779661
CPU,fgsm/eps0.03,fgsm,eps0.03,10,2200,1298,839,213,555,380,459,594,822,25.387365911799765,22.559094186842813,28.44000220327368,25.227272727272727,29.275808936825886,35.36209553158706,-6.086286594761173,27.0,63.32819722650231
CPU,fgsm/eps0.03,fgsm,eps0.03,20,2200,1298,839,149,698,488,459,1002,426,17.759237187127532,15.321892937414667,20.490482721309345,31.727272727272727,37.59630200308167,35.36209553158706,2.234206471494609,45.54545454545455,32.81972265023113
