backend,topk,n,n_clean_correct,clean_topk_acc_pct,clean_acc_pct,n_clean_degraded,clean_degradation_pct,n_clean_improved,acc_change_pp
CPU,10,2200,1298,27.0,59.0,822,63.32819722650231,118,-32.0
CPU,20,2200,1298,45.54545454545455,59.0,426,32.81972265023113,130,-13.454545454545453
CPU,30,2200,1298,50.04545454545455,59.0,307,23.651771956856702,110,-8.954545454545453
CPU,40,2200,1298,55.04545454545454,59.0,165,12.711864406779661,78,-3.9545454545454604
NPU,10,2200,1202,24.227272727272727,54.63636363636364,793,65.97337770382696,124,-30.409090909090914
NPU,20,2200,1202,43.0,54.63636363636364,401,33.36106489184692,145,-11.63636363636364
NPU,30,2200,1202,46.77272727272727,54.63636363636364,296,24.625623960066555,123,-7.863636363636367
NPU,40,2200,1202,51.68181818181819,54.63636363636364,159,13.227953410981698,94,-2.9545454545454533
