profile,attack,attack_profile,n,adv_identical_rows,adv_identical_pct,cpu_cond_asr_pct,npu_cond_asr_pct,n_both_clean_correct,cpu_asr_both_clean_pct,npu_asr_both_clean_pct,cpu_succ_npu_not,npu_succ_cpu_not,mcnemar_exact_p,attacked_pred_agree_pct,n_identical_and_both_clean,cpu_asr_identical_pct,npu_asr_identical_pct,asr_diff_pp_npu_minus_cpu,asr_diff_both_clean_pp,asr_diff_identical_pp,backend_attributable
fgsm/eps0.005,fgsm,eps0.005,2200,2200,100.0,16.87211093990755,14.891846921797004,1172,14.761092150170649,14.84641638225256,33,34,1.0,86.72727272727273,1172,14.761092150170649,14.84641638225256,-1.980264018110546,0.08532423208191098,0.08532423208191098,True
fgsm/eps0.01,fgsm,eps0.01,2200,2200,100.0,31.432973805855163,27.95341098169717,1172,29.77815699658703,28.242320819112628,50,32,0.059808338334316175,85.45454545454545,1172,29.77815699658703,28.242320819112628,-3.4795628241579912,-1.5358361774744012,-1.5358361774744012,True
fgsm/eps0.03,fgsm,eps0.03,2200,2200,100.0,64.63790446841294,58.48585690515807,1172,64.50511945392492,59.129692832764505,97,34,3.321500013147583e-08,80.4090909090909,1172,64.50511945392492,59.129692832764505,-6.152047563254868,-5.375426621160415,-5.375426621160415,True
fgsm/eps0.05,fgsm,eps0.05,2200,2200,100.0,79.73805855161787,71.79700499168054,1172,80.46075085324232,72.7815699658703,109,19,1.555834315348132e-16,81.18181818181817,1172,80.46075085324232,72.7815699658703,-7.94105355993733,-7.679180887372013,-7.679180887372013,True
bim/eps0.03_default,bim,eps0.03_default,2200,2200,100.0,81.2788906009245,69.96672212978369,1172,80.37542662116041,70.90443686006826,124,13,6.84026545842273e-24,83.63636363636363,1172,80.37542662116041,70.90443686006826,-11.312168471140808,-9.470989761092156,-9.470989761092156,True
pgd/eps0.005,pgd,eps0.005,2200,0,0.0,19.183359013867488,15.973377703826955,1172,16.97952218430034,15.870307167235495,38,25,0.12991792302255253,87.95454545454545,0,,,-3.2099813100405328,-1.1092150170648445,,False
pgd/eps0.01,pgd,eps0.01,2200,0,0.0,36.28659476117103,32.196339434276204,1172,35.06825938566553,32.508532423208194,60,30,0.0020602656809630745,84.31818181818181,0,,,-4.090255326894827,-2.559726962457333,,False
pgd/eps0.03,pgd,eps0.03,2200,0,0.0,80.43143297380585,68.80199667221298,1172,79.60750853242321,69.79522184300342,132,17,3.072911309025749e-23,71.04545454545455,0,,,-11.629436301592875,-9.812286689419793,,False
mifgsm/eps0.03_default,mifgsm,eps0.03_default,2200,2200,100.0,79.35285053929121,68.55241264559068,1172,78.66894197952219,69.45392491467577,123,15,2.839975645346407e-22,81.5,1172,78.66894197952219,69.45392491467577,-10.800437893700533,-9.215017064846421,-9.215017064846421,True
difgsm/eps0.03_default,difgsm,eps0.03_default,2200,2200,100.0,74.80739599383668,65.05823627287853,1172,74.57337883959045,65.35836177474403,124,16,7.019412612420993e-22,81.86363636363636,1172,74.57337883959045,65.35836177474403,-9.749159720958147,-9.215017064846421,-9.215017064846421,True
vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,2200,0,0.0,80.0462249614792,68.63560732113145,1172,79.35153583617748,69.53924914675768,125,10,1.962657178574568e-26,80.27272727272728,0,,,-11.410617640347752,-9.812286689419793,,False
vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,2200,6,0.27272727272727276,79.58397534668721,68.63560732113145,1172,78.92491467576792,69.53924914675768,120,10,4.263429420007923e-25,80.27272727272728,6,0.0,0.0,-10.948368025555766,-9.38566552901024,0.0,False
rfgsm/eps0.03_default,rfgsm,eps0.03_default,2200,0,0.0,80.50847457627118,69.96672212978369,1172,79.86348122866895,70.90443686006826,123,18,2.0449914960625395e-20,75.81818181818181,0,,,-10.541752446487493,-8.959044368600686,,False
tpgd/eps0.03_default,tpgd,eps0.03_default,2200,0,0.0,47.45762711864407,43.17803660565724,1172,47.35494880546075,42.83276450511946,247,194,0.013189805564119843,47.409090909090914,0,,,-4.279590512986829,-4.522184300341294,,False
cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,2200,2200,100.0,91.29429892141756,65.47420965058237,1172,92.74744027303754,66.89419795221843,303,0,1.2272733663244316e-91,67.81818181818183,1172,92.74744027303754,66.89419795221843,-25.820089270835197,-25.853242320819106,-25.853242320819106,True
deepfool/package_default,deepfool,package_default,2200,2200,100.0,98.5362095531587,51.99667221297837,1172,98.46416382252559,53.15699658703072,541,10,1.8098940282382517e-145,51.77272727272727,1172,98.46416382252559,53.15699658703072,-46.53953734018033,-45.30716723549487,-45.30716723549487,True
